テーブル名,物理名,論理名,カラム名(物理),カラム名(論理),データ型,桁数,NULL許可,主キー,外部キー,デフォルト値,説明,値の例,選択肢,備考
User,User,ユーザー,id,ユーザーID,STRING,50,NO,PK,,,システム利用者の一意識別子,user-admin,,自動採番
User,User,ユーザー,name,ユーザー名,STRING,100,NO,,,,ユーザーの氏名,管理太郎,,
User,User,ユーザー,email,メールアドレス,STRING,200,NO,UK,,,ログイン用メールアドレス（一意制約）,admin@example.com,,重複不可
User,User,ユーザー,role,ロール,STRING,20,NO,,,sales,ユーザーの権限ロール,admin,"admin, sales",adminは全権限、salesは営業権限のみ
User,User,ユーザー,department,部署,STRING,100,YES,,,,所属部署,営業部,,任意項目
User,User,ユーザー,avatar,アバター画像URL,STRING,500,YES,,,,プロフィール画像のURL,https://...,,任意項目
Project,Project,案件,project_id,案件ID,STRING,50,NO,PK,,,案件の一意識別子,PRJ-1234567890,,自動採番（PRJ-timestamp形式）
Project,Project,案件,_register_datetime,登録日時,TIMESTAMP,-,NO,,,,案件が登録された日時,2024-04-01T10:30:00Z,,自動採番
Project,Project,案件,advertiser_name,広告主法人名,STRING,100,NO,,,,広告を出稿する企業・団体名,株式会社サンプル,,必須項目
Project,Project,案件,agency_name,代理店名,STRING,100,YES,,,,代理店がある場合の企業名,株式会社広告代理店,,任意項目
Project,Project,案件,appeal_point,訴求内容,STRING,200,NO,,,,キャンペーンや広告の訴求内容,春の新商品プロモーション,,必須項目
Project,Project,案件,universe_service_id,UNIVERSEサービスID,STRING,50,YES,,,,UNIVERSEサービスの識別子,SVC001,,任意項目
Project,Project,案件,universe_service_name,UNIVERSEサービス名,STRING,100,YES,,,,UNIVERSEサービスの名称,サンプルサービス,,任意項目
Project,Project,案件,delivery_start_date,配信開始日,DATE,10,NO,,,,広告配信を開始する日付,2024-04-01,,必須項目、YYYY-MM-DD形式
Project,Project,案件,delivery_end_date,配信終了日,DATE,10,NO,,,,広告配信を終了する日付,2024-06-30,,必須項目、YYYY-MM-DD形式、開始日以降
Project,Project,案件,person_in_charge,主担当者,STRING,50,NO,,FK:User.id,,案件の主担当者のユーザーID,user-sales,,User.idを参照
Project,Project,案件,sub_person_in_charge,副担当者,STRING,50,YES,,FK:User.id,,案件の副担当者のユーザーID,user-sales2,,User.idを参照、任意項目
Project,Project,案件,remarks,備考,STRING,500,YES,,,,案件に関する自由記述の備考,テスト案件です,,任意項目
